1,Hi McGruff I know what you are going through .,,,,,,,,,,,,,,3,
1,I too didn't sleep for a long time .,,,,,,,,,,,,,,3,
1,Oh for the days when You weren't scarred out of your mind .,,,,,,,,,,,,,,3,
1,But it does get better .,,,,,,,,,,,,,,3,
1,I am on this a lot can't sleep so anytime you need to talk let me know .,,,,,,,,,,,,,,3,
1,I love this site too but can't quite figure it out .,,,,,,,,,,,,,,0,
1,I'll read your web page tonight after work so I'm more in-tune to what's going on .,,,,,,,,,,,,,,3,
1,Hang in there Denise,,,,,,,,,,,,,,3,
1,I am new to this forum my name is maggie .,,,,,,,,,,,,,,0,
0,I was diagnosed in Aug .,,,,,,,,,,,,,,0,
1,I just wanted to let you know  that I went thought the same feelings you are having .,,,,,,,,,,,,,,3,
1,(Confused worried and I was even angry) I don't know how this works but you can e-mail anytime for questions or just to have someone to listen .,,,,,,,,,,,,,,3,
1,May God bless you and I hope everything comes out ok .,,,,,,,,,,,,,,3,
1,Hi McGruff: I just a lumpectomy and I'm waiting to see the oncologist - my guess is chemo and radiation and who knows what else .,,,,,,,,,,,,,,0,
1,But I surely know the feelings and the confusion and as much as everyone around me is so proud of me for being so positive and upbeat I wonder where this strength is really coming from .,,,,,,,,,,,,,,0,
1,"Someone e-mailed me and said ""The Lord will not give you anymore than you can handle .",,,,,,,,,,,,,,0,
1,Put your life in his hands .,,,,,,,,,,,,,,3,
1,And so that's just what I've done .,,,,,,,,,,,,,,0,
1,I take one day at a time and just pray that I have the courage and the strength to get thru whatever is in store for me .,,,,,,,,,,,,,,0,
1,I ask alot of questions especialy from the wonderful women that I've met on this site .,,,,,,,,,,,,,,0,
1,This is truly amazing .,,,,,,,,,,,,,,0,
1,I can't wait to get home each night to get online .,,,,,,,,,,,,,,0,
1,If nothing else picks up your spirits talking to others for support and compasion has by far lifted my spirits and I'm sure it will lift you too .,,,,,,,,,,,,,,3,
1,Keep in touch either on this site or e-mail direct anytime Just think of it as we are all strolling down the same path together and if one of us falls I know the rest will be right there to help out .,,,,,,,,,,,,,,3,
1,It doesn't get any better than that!,,,,,,,,,,,,,,3,
